;;;;;;Time;Utility
Dataset;k;QIs;Algorithm;Quality;Transformation;Value;Value
ADULT;5;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;1085.0;0.6745726460349047
ADULT;10;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1120.0;0.5446646602020107
ADULT;10;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;1120.0;0.5930559029787048
ADULT;5;1;SANCHEZ;LOSS;LOCAL_GENERALIZATION;210.0;1.0
ADULT;5;1;SANCHEZ;SSE;LOCAL_GENERALIZATION;210.0;1.0
ADULT;5;2;SANCHEZ;LOSS;LOCAL_GENERALIZATION;320.0;0.9919714364350316
ADULT;5;2;SANCHEZ;SSE;LOCAL_GENERALIZATION;320.0;0.9929717310128315
ADULT;5;3;SANCHEZ;LOSS;LOCAL_GENERALIZATION;419.0;0.9755406800234592
ADULT;5;3;SANCHEZ;SSE;LOCAL_GENERALIZATION;419.0;0.9751926515038667
ADULT;5;4;SANCHEZ;LOSS;LOCAL_GENERALIZATION;566.0;0.9419779405063493
ADULT;5;4;SANCHEZ;SSE;LOCAL_GENERALIZATION;566.0;0.9371161837516806
ADULT;5;5;SANCHEZ;LOSS;LOCAL_GENERALIZATION;699.0;0.8444478946111085
ADULT;5;5;SANCHEZ;SSE;LOCAL_GENERALIZATION;699.0;0.8347143858288002
ADULT;5;6;SANCHEZ;LOSS;LOCAL_GENERALIZATION;800.0;0.8361851380525874
ADULT;5;6;SANCHEZ;SSE;LOCAL_GENERALIZATION;800.0;0.8408538706557273
ADULT;5;7;SANCHEZ;LOSS;LOCAL_GENERALIZATION;882.0;0.7918183443456206
ADULT;5;7;SANCHEZ;SSE;LOCAL_GENERALIZATION;882.0;0.7851593213615566
ADULT;5;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;980.0;0.7041378609935001
ADULT;5;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;980.0;0.7037524302603236
ADULT;5;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1077.0;0.6667737761599859
ADULT;5;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;1077.0;0.6745726460349047
CUP;2;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2613.0;0.8656405538116407
CUP;2;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;2613.0;0.9600224480218009
CUP;3;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2756.0;0.7984917032309984
CUP;3;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;2756.0;0.9493553792300558
CUP;5;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2562.0;0.7294304874429559
CUP;5;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;2562.0;0.9394511397934209
CUP;10;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2540.0;0.6631733802092132
CUP;10;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;2540.0;0.9296658905587427
CUP;5;1;SANCHEZ;LOSS;LOCAL_GENERALIZATION;593.0;0.9999367675145645
CUP;5;1;SANCHEZ;SSE;LOCAL_GENERALIZATION;593.0;0.9999200377010535
CUP;5;2;SANCHEZ;LOSS;LOCAL_GENERALIZATION;875.0;0.7182774876415999
CUP;5;2;SANCHEZ;SSE;LOCAL_GENERALIZATION;875.0;0.6607578464206589
CUP;5;3;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1101.0;0.7302014846895992
CUP;5;3;SANCHEZ;SSE;LOCAL_GENERALIZATION;1101.0;0.7175824776001059
CUP;5;4;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1336.0;0.6090150780300803
CUP;5;4;SANCHEZ;SSE;LOCAL_GENERALIZATION;1336.0;0.6353590262349635
CUP;5;5;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1608.0;0.6091358362380518
CUP;5;5;SANCHEZ;SSE;LOCAL_GENERALIZATION;1608.0;0.6196114387860846
