;;;;;;Time;Utility
Dataset;k;QIs;Algorithm;Quality;Transformation;Value;Value
ADULT;5;6;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;487437.0;0.9131512469978316
ADULT;5;6;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;487437.0;0.9468729086171581
ADULT;5;7;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;706867.0;0.8150394047263125
ADULT;5;7;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;706867.0;0.9018943913997202
ADULT;5;8;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1346795.0;0.804137403084373
ADULT;5;8;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1346795.0;0.884513013835752
ADULT;5;9;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1586286.0;0.7876477136696575
ADULT;5;9;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1586286.0;0.8658223624210601
CUP;5;1;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;762544.0;0.9997900514051875
CUP;5;1;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;762544.0;0.9998288265365775
CUP;5;2;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;2560818.0;0.9920512895455803
CUP;5;2;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;2560818.0;0.9950844686993291
CUP;5;3;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;3561028.0;0.9123099208026041
CUP;5;3;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;3561028.0;0.9647391228282315
FARS;5;1;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;63960.0;0.9916509822716575
FARS;5;1;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;63960.0;0.9937900058272192
FARS;5;2;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;133130.0;0.9939229791082238
FARS;5;2;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;133130.0;0.9936193928809463
FARS;5;3;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;484062.0;0.8579756390393944
FARS;5;3;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;484062.0;0.8008391009956598
FARS;5;4;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1993558.0;0.6485912724645172
FARS;5;4;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1993558.0;0.6994206415684021
FARS;5;5;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;2910648.0;0.6411464356069327
FARS;5;5;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;2910648.0;0.7422805783329833
FARS;5;6;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;3569576.0;0.5604530728833244
FARS;5;6;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;3569576.0;0.6761798859314267
ATUS;5;1;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;238040.0;0.7575386571148662
ATUS;5;1;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;238040.0;0.8052373684839038
ATUS;5;2;MONDRIAN;SSE;MULTI_DIMENSIONAL_GENERALIZATION;560103.0;0.815355249789694
ATUS;5;2;MONDRIAN;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;560103.0;0.8885321698936759
