;;;;;;Time;Utility
Dataset;k;QIs;Algorithm;Quality;Transformation;Value;Value
FARS;5;2;ARX;SSE;LOCAL_GENERALIZATION;780.0;0.9992843326766617
FARS;5;2;ARX;LOSS;LOCAL_GENERALIZATION;780.0;0.9989131450219998
FARS;5;3;ARX;LOSS;LOCAL_GENERALIZATION;904.0;0.9951392428638531
FARS;5;3;ARX;SSE;LOCAL_GENERALIZATION;904.0;0.9955761308708718
FARS;5;4;ARX;LOSS;LOCAL_GENERALIZATION;1810.0;0.9886334543953206
FARS;5;4;ARX;SSE;LOCAL_GENERALIZATION;1810.0;0.9874807923710299
FARS;5;5;ARX;SSE;LOCAL_GENERALIZATION;2262.0;0.9816371885429676
FARS;5;5;ARX;LOSS;LOCAL_GENERALIZATION;2262.0;0.986637922334032
FARS;5;6;ARX;SSE;LOCAL_GENERALIZATION;3261.0;0.9826084951084342
FARS;5;6;ARX;LOSS;LOCAL_GENERALIZATION;3261.0;0.986116695938953
FARS;5;7;ARX;SSE;LOCAL_GENERALIZATION;14539.0;0.9735696258748388
FARS;5;7;ARX;LOSS;LOCAL_GENERALIZATION;14539.0;0.9750644993279605
FARS;5;8;ARX;LOSS;LOCAL_GENERALIZATION;23416.0;0.9757830481562327
FARS;5;8;ARX;SSE;LOCAL_GENERALIZATION;23416.0;0.9717255627340433
ATUS;2;9;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;12433.0;0.9769678899686565
ATUS;2;9;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;12433.0;0.9615961916309702
ATUS;3;9;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;19609.0;0.9511933393143869
ATUS;3;9;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;19609.0;0.9698785520299611
ATUS;5;9;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;30576.0;0.9410340249926082
ATUS;5;9;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;30576.0;0.9613020780428547
ATUS;10;9;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;51885.0;0.9478290337920123
ATUS;10;9;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;51885.0;0.9249685263221064
ATUS;5;1;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1076.0;1.0
ATUS;5;1;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1076.0;1.0
ATUS;5;2;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1123.0;1.0
ATUS;5;2;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1123.0;1.0
ATUS;5;3;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1201.0;1.0
ATUS;5;3;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1201.0;1.0
ATUS;5;4;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1358.0;0.9929215607296267
ATUS;5;4;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1358.0;0.9944151552074015
ATUS;5;5;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1560.0;0.9945005179477502
ATUS;5;5;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1560.0;0.9923533183776454
ATUS;5;6;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;2824.0;0.9913304677512924
ATUS;5;6;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;2824.0;0.9906004145401875
ATUS;5;7;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;3634.0;0.9823391955003895
ATUS;5;7;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;3634.0;0.9740408300226336
ATUS;5;8;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;10998.0;0.9475169604014106
ATUS;5;8;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;10998.0;0.96750316704069
ATUS;5;9;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;30358.0;0.9410340249926082
ATUS;5;9;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;30358.0;0.9613020780428547
